200 seeds per policy at default tuning

policy        runs  points  best  depth  max  reach  places  harvests  claims  quests  relics  %tiles  pops/place   arc  stalled  capped
------------  ----  ------  ----  -----  ---  -----  ------  --------  ------  ------  ------  ------  ----------  ----  -------  ------
random-legal   200     240   485    5.0    9      5      24         1       0       0       0      51        0.09  0.78        0       0
blind          200     369   881    5.0    6      5      58        10       0       0       6     100        0.62  0.39        0       0
rush           200    1106  1982   13.0   19     13     100        27       1       0      16      81        0.65  0.47        0       0
farm           200    1336  4602   11.0   16     11     105        21       1       0      13     100        0.66  0.49        0       0
hoard          200    1336  4602   11.0   16     11     105        21       1       0      13       0        0.66  0.49        0       0
trickle        200     909  1690   10.0   18     10      97        27       1       0      16      81        0.65  0.62        0       0
bank3          200     866  1691   10.0   18     10      95        27       1       0      15      48        0.65  0.65        0       0
bank15         200    1460  5023   11.0   17     11     109        26       1       0      15      99        0.67  0.52        0       0
bank20         200    1467  5787   11.0   18     11     110        25       1       0      15     100        0.67  0.53        0       0
bank40         200    1467  5787   11.0   18     11     110        25       1       0      15     100        0.67  0.53        0       0
bank80         200    1467  5787   11.0   18     11     110        25       1       0      15     100        0.67  0.53        0       0
seeker         200    1162  4967   10.0   16     10      80        12       3       0      12      99        0.48  0.60        0       0
chooser        200     907  3328   10.0   15     10      87        21       1       0      12       2        0.64  0.46        0       0
survivor       200    1336  4602   11.0   16     11     105        21       1       0      13     100        0.66  0.49        0       0
spender        200    1582  5576   11.0   17     11     114        27       1       0       3     100        0.67  0.54        0       0
timid          200     800  1488   10.0   18     10      91        29       1       0      17     100        0.64  0.61        0       0
greedy         200     555  1004    9.0   15      9      74        42       1       0      22       0        0.62  0.76        0       0
tourist        200     880  2825   22.0   59     22      22         0       0       0       0     100        0.00  0.00        0       0

arc = where the biggest harvest landed, as a fraction of the run
stalled/capped are bugs, not results — both should be 0
